"School Name","School Type","Address","City","Zipcode","Planning Region","Polio","DTaP","MMR","HepB","Varicella","HepA","All","Ex_Rel","Ex_Med","Ex_Tot"
"Naubuc School","Public","84 Griswold St.","Glastonbury","06033","Capitol","98.4","98.4","98.4","100","98.4","98.4","98.4","0","0","0"
"Nayaug Elementary School","Public","222 Old Maids Ln.","Glastonbury","06073","Capitol","99","99","99","97.9","99","99","97.9","0","1","1"
"Goshen Center School","Public","50 North Street","Goshen","06756","Northwest Hills","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Kelly Lane Primary School","Public","60 Kelly Ln.","Granby","06035","Capitol","99.1","99.1","99.1","99.1","99.1","95.5","95.5","0","0.9","0.9"
"Brunswick School","Non-public","100 Maher Avenue","Greenwich","06830","Western","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Cos Cob School","Public","300 East Putnam Ave.","Greenwich","06807","Western CT","100","100","98.4","100","98.4","100","98.4","0","0","0"
"Glenville School","Public","33 Riversville Rd.","Greenwich","06831","Western CT","98.9","98.9","97.8","98.9","97.8","98.9","96.6","0","1.1","1.1"
"Greenwich Academy","Public","200 North Maple Avenue","Greenwich","06830","Western CT","100","97.6","100","100","100","100","97.6","0","0","0"
"Greenwich Catholic","Non-public","471 North Street","Greenwich","06830","Western CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Greenwich Country Day","Non-public","401 Old Church Road","Greenwich","06830","Western CT","100","100","100","100","100","100","100","0","0","0"
"Hamilton Avenue School","Public","184 Hamilton Avenue","Greenwich","06830","Western CT","97.2","94.4","94.4","97.2","97.2","97.2","94.4","0","2.8","2.8"
"International School At Dundee","Public","55 Florence Rd.","Greenwich","06878","Western CT","100","100","100","100","98.3","100","98.3","0","0","0"
"Julian Curtiss School","Public","180 East Elm St.","Greenwich","06830","Western CT","100","100","100","100","100","100","100","0","0","0"
"New Lebanon School","Public","25 Mead Ave.","Greenwich","06830","Western CT","100","100","100","100","100","100","100","0","0","0"
"North Mianus School","Public","309 Palmer Hill Rd.","Greenwich","06878","Western CT","100","100","100","100","100","100","100","0","0","0"
"North Street School","Public","381 North St.","Greenwich","06830","Western CT","100","100","98.4","100","98.4","100","98.4","0","0","0"
"Old Greenwich School","Public","825 Sound Beach Ave.","Greenwich","06870","Western CT","100","100","100","100","100","100","100","0","0","0"
"Parkway School","Public","141 Lower Cross Rd.","Greenwich","06831","Western CT","100","100","100","100","100","100","100","0","0","0"
"Riverside School","Public","90 Hendrie Ave.","Greenwich","06878","Western CT","100","100","100","100","100","100","100","0","0","0"
"Sacred Heart Greenwich","Non-public","1177 King Street","Greenwich","06831","Western CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Whitby School","Non-public","969 Lake Avenue","Greenwich","06831","Western CT","100","100","100","96.9","71.9","90.6","71.9","0","0","0"
"Griswold Elementary School","Public","303 Slater Ave.","Griswold","06351","Southeastern CT","100","99.1","100","100","99.1","99.1","99.1","0","0","0"
"Catherine Kolnaski Magnet School","Public","500 Poquonnock Rd.","Groton","06340","Southeastern CT","100","100","100","100","100","100","100","0","0","0"
"Charles Barnum Magnet School","Public","68 Briar Hill Rd.","Groton","06340","Southeastern CT","100","98.2","100","100","100","100","98.2","0","0","0"
"Grace Valley Academy","Non-public","20 Grove Ave","Groton","06340","Southeastern CT","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Mystic River Magnet School","Public","160 Fishtown Rd","Groton","06355","Southeastern CT","100","100","100","100","100","100","100","0","0","0"
"Northeast Academy Arts Magnet School","Public","115 oslo st","Groton","06355","Southeastern CT","100","100","100","100","100","100","100","0","0","0"
"Sacred Heart School-Groton","Non-public","50 Sacred Heart Drive","Groton","06340","Southeastern CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Thames River Magnet School","Public","250 Brandegee Avenue","Groton","06340","Southeastern CT","100","100","100","100","100","100","100","0","0","0"
"A. W. Cox School","Public","143 Three Mile Course","Guilford","06437","South Central","98","98","98","98","98","98","98","0","2","2"
"Calvin Leete School","Public","280 South Union St.","Guilford","06437","South Central","100","100","100","100","100","100","100","0","0","0"
"Guilford Lakes School","Public","40 Maupas Rd.","Guilford","06437","South Central","100","100","100","100","100","100","100","0","0","0"
"Melissa Jones School","Public","181 Ledge Hill Rd.","Guilford","06437","South Central","100","100","100","100","100","100","100","0","0","0"
"Burr District Elementary School","Public","792 Killingworth Road","Haddam","06441","Lower CT River Valley","100","100","100","100","100","98.7","98.7","0","0","0"
"Aces Wintergreen Interdistrict Magnet School","Public","670 wintergreen ave","Hamden","06514","South Central","100","100","100","100","100","100","100","0","0","0"
"Alice Peck Learning Center","Non-public","35 Hillfield Road","Hamden","06518","South Central","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Bear Path School","Public","10 Kirk Rd.","Hamden","06514","South Central","100","100","100","100","100","100","100","0","0","0"
"Church Street School","Public","95 Church St.","Hamden","06514","South Central","100","100","100","100","100","100","100","0","0","0"
"Dunbar Hill School","Public","315 Lane St.","Hamden","06514","South Central","100","100","100","100","100","100","100","0","0","0"
"Hamden Hall School","Non-public","1108 Whitney Avenue","Hamden","06517","South Central","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Helen Street School","Public","285 Helen St.","Hamden","06514","South Central","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Laurel Oaks Adventist School","Non-public","14 West Shepard Avenue","Hamden","06514","South Central","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Ridge Hill School","Public","120 Carew Rd.","Hamden","06517","South Central","100","97.4","100","100","97.4","100","97.4","0","0","0"
"Shepherd Glen School","Public","1 Skiff St. Ext.","Hamden","06514","South Central","100","100","100","100","92.5","95","92.5","0","0","0"
"Spring Glen School","Public","1908 Whitney Ave.","Hamden","06517","South Central","100","100","100","100","100","100","100","0","0","0"
"St. Rita School","Non-public","1601 Whitney Avenue","Hamden","06517","South Central","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"West Woods School","Non-public","350 West Todd St.","Hamden","06518","South Central","100","100","100","100","100","100","100","0","0","0"
"Hampton Elementary School","Public","380 Main St.","Hampton","06247","Northeast CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Achievement First Hartford Academy","Public","305 Greenfield Street","Hartford","06112","Capitol","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Betances Learning Lab Magnet School","Public","42 Charter Oak Avenue","Hartford","06106","Capitol","100","100","100","100","100","100","100","0","0","0"
"Breakthrough Magnet School, South","Public","290 Brookfield Street","Hartford","06106","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Burns Latino Studies Academy","Public","195 Putnam Street","Hartford","06106","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Capital Preparatory Magnet School","Public","1304 Main Street","Hartford","06103","Capitol","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Community First School Inc.","Non-public","50 Love Lane","Hartford","06112","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Dwight-Bellizzi Dual Language Academy","Public","215 South Street","Hartford","06114","Capitol","100","100","100","100","100","100","100","0","0","0"
"Environmental Sciences Magnet at Hooker School","Public","440 Broadview Terrace","Hartford","06106","Capitol","100","100","100","100","100","100","100","0","0","0"
"Expeditionary Learning Academy at Moylan School","Public","101 Catherine Street","Hartford","06106","Capitol","97.7","97.7","100","100","100","100","97.7","0","0","0"
"Global Communications Academy","Public","85 Edwards Street","Hartford","06112","Capitol","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"High Road School of Hartford-Primary","Non-public","757 New Britain Ave","Hartford","06106","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Jumoke Academy","Public","999 Asylum Ave. Suite 200","Hartford","06105","Capitol","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Kennelly School","Public","180 White Street","Hartford","06114","Capitol","100","100","100","100","100","100","100","0","0","0"
"Kinsella Magnet School of Performing Arts: PK-8 Campus","Public","65 Van Block Avenue","Hartford","06106","Capitol","100","100","100","97","100","100","97","0","0","0"
"M. D. Fox School","Public","470 Maple Avenue","Hartford","06114","Capitol","98.4","98.4","100","100","100","98.4","96.9","0","0","0"
"Maria C. Colon Sanchez Elementary School Sbhc","Public","176 Babcock Street","Hartford","06106","Capitol","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Montessori Magnet at Batchelder School","Public","757 New Britain Avenue","Hartford","06106","Capitol","100","100","100","100","100","100","100","0","0","0"
"Montessori Magnet at Fisher School","Public","280 Plainfield Street","Hartford","06112","Capitol","100","100","100","100","100","100","100","0","0","0"
"Montessori Magnet School","Non-public","1460 Broad St.","Hartford","06106","Capitol","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Naylor","Public","639 Franklin Avenue","Hartford","06114","Capitol","97.7","97.7","97.7","97.7","97.7","97.7","97.7","0","2.3","2.3"
"Northeastern Adventist Academy - Hartford Campus/Covenant Prepatory School","Non-public","474 Woodland Street","Hartford","06112","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Parkville Community School","Public","47 New Park Avenue","Hartford","06106","Capitol","97.4","100","100","97.4","97.4","97.4","97.4","0","0","0"
"Rawson School","Public","260 Holcomb Street","Hartford","06112","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"SAND School","Public","1750 Main Street","Hartford","06120","Capitol","97.2","94.4","100","97.2","100","100","94.4","0","0","0"
"STEM magnet at Annie Fisher","Public","280 Plainfield St","Hartford","06112","Capitol","100","100","100","100","100","100","100","0","0","0"
"Trinity Academy Hartford","Non-public","10 Woodland Street","Hartford","06105","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Webster Micro Society Magnet School","Public","5 Cone Street","Hartford","06105","Capitol","98.6","98.6","100","95.7","100","95.7","95.7","0","0","0"
"West Middle School","Public","44 Niles Street","Hartford","06112","Capitol","94.4","94.4","97.2","97.2","94.4","94.4","91.7","0","0","0"
"Wish Museum School","Public","104 Vine Street","Hartford","06112","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Hartland School","Public","30 South Rd.","Hartland","06027","Northwest Hills","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Gilead Hill School","Public","580 Gilead St.","Hebron","06248","Capitol","100","100","100","100","100","100","100","0","0","0"
"Kent Center School","Public","9 Judd Street","Kent","06757","Northwest Hills","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"High Road School Hartford Primary at Windham County","Non-public","95 Westcott Road","Killingly","06239","Northeast CT","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Killingly Central School","Public","60 Soap St.","Killingly","06241","Northeast CT","100","100","99.3","99.3","100","100","98.5","0","0","0"
"St. James School-Danielson","Non-public","120 Water Street","Killingly","06239","Northeast CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Killingworth Elementary School","Public","340 Route 81","Killingworth","06419","Lower CT River Valley","98","98","98","98","98","98","98","0","2","2"
"Lebanon Elementary School","Public","479 Exeter Rd.","Lebanon","06249","Southeastern CT","98.1","100","98.1","98.1","98.1","98.1","98.1","0","0","0"
"Gales Ferry School","Public","1858 Route 12","Ledyard","06335","Southeastern CT","98.5","98.5","98.5","98.5","98.5","98.5","98.5","0","0","0"
"Gallup Hill School","Public","169 Gallup Hill Rd.","Ledyard","06339","Southeastern CT","98.7","98.7","97.4","94.7","97.4","98.7","94.7","0","1.3","1.3"
"Lisbon Central School","Public","15 Newent Rd.","Lisbon","06351","Southeastern CT","100","100","100","100","100","100","100","0","0","0"
"Litchfield Center School","Public","125 West Street","Litchfield","06759","Northwest Hills","100","100","100","100","100","100","100","0","0","0"
"Litchfield Montessori School","Non-public","5  Knife Shop Road","Litchfield","06778","Northwest Hills","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Lyme Consolidated School","Public","478 Hamburg Road","Lyme","06371","Lower CT River Valley","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Dr. Robert H. Brown Elementary School","Public","980 Durham Rd.","Madison","06443","South Central","100","100","100","100","100","100","100","0","0","0"
"Neck River Elementary School","Public","180 Mungertown Road","Madison","06443","South Central","100","99.2","100","100","100","100","99.2","0","0","0"
"Our Lady of Mercy Preparatory Academy","Non-public","20 Island Avenue","Madison","06443","South Central","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"The Country School","Non-public","341 Opening Hill Road","Madison","06443","South Central","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Bowers School","Public","141 Princeton Street","Manchester","06042","Capitol","80.6","79","85.5","91.9","85.5","90.3","77.4","0","0","0"
"Buckley School","Public","250 Vernon Street","Manchester","06042","Capitol","95","95","98.3","100","98.3","98.3","95","0","0","0"
"Highland Park School","Public","397 Porter St.","Manchester","06040","Capitol","100","100","100","100","100","100","100","0","0","0"
"Keeney School","Public","179 Keeney St","Manchester","06042","Capitol","100","97.6","100","97.6","100","100","95.1","0","0","0"
"Odyssey Community School","Public","579 Middle Tpke West","Manchester","06040","Capitol","100","100","100","100","100","100","100","0","0","0"
"St. Bridget School-Manchester","Non-public","74 Main Street","Manchester","06042","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"St. James-Manchester","Non-public","73 Park Street","Manchester","06040","Capitol","100","100","97.5","100","97.5","100","97.5","0","0","0"
"The Cornerstone Christian School","Non-public","236 Main Street","Manchester","06042","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Verplanck School","Public","126 Olcott Street","Manchester","06040","Capitol","90","90","91.1","91.1","87.8","92.2","87.8","0","1.1","1.1"
"Waddell School","Public","163 Broad Street","Manchester","06042","Capitol","98.9","96.6","96.6","100","95.4","97.7","92","0","0","0"
"Mansfield Elementary School","Public","134 Warrenville Rd.","Mansfield","06250","Capitol","98.9","97.7","96.6","100","96.6","100","95.4","0","0","0"
"Oak Grove Montessori","Non-public","132 Pleasant Valley Road","Mansfield","06250","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Elmer Thienes-Mary Hall Elementary School","Public","25 School Dr.","Marlborough","06447","Capitol","98.1","98.1","98.1","98.1","98.1","98.1","98.1","0","0","0"
"Benjamin Franklin School","Public","426 West Main St.","Meriden","06450","South Central","100","100","100","100","100","100","100","0","0","0"
"Casimir Pulaski School","Public","100 Clearview Ave.","Meriden","06450","South Central","100","100","100","100","100","100","100","0","0","0"
"Hanover School","Public","208 Main St.","Meriden","06450","South Central","100","100","100","100","100","100","100","0","0","0"
"Israel Putnam School","Public","133 Parker Ave.","Meriden","06450","South Central","100","100","100","100","100","100","100","0","0","0"
"John Barry School","Public","124 Columbia St.","Meriden","06450","South Central","100","100","100","100","100","100","100","0","0","0"
"Meliora Academy","Non-public","470 Murdock Avenue Suite 1","Meriden","06450","South Central","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"MidState Christian Academy","Non-public","139 Charles Street","Meriden","06450","South Central","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Nathan Hale School","Public","277 Atkins St. Ext.","Meriden","06450","South Central","100","100","100","100","100","100","100","0","0","0"
"Roger Sherman School","Public","64 North Pearl St.","Meriden","06450","South Central","100","100","100","100","100","100","100","0","0","0"
"Thomas Hooker School","Public","70 Overlook Rd.","Meriden","06450","South Central","100","98.7","100","100","98.7","97.4","96.2","0","0","0"
"Long Meadow Elementary School","Public","65 North Benson Rd.","Middlebury","06762","Naugatuck Valley","100","100","100","100","100","100","100","0","0","0"
"Middlebury Elementary School","Public","550 Whittemore Rd","Middlebury","06762","Naugatuck Valley","97.8","97.8","97.8","97.8","97.8","97.8","97.8","0","2.2","2.2"
"The Independent Day School","Non-public","115 Laurel Brook Road","Middlefield","06455","Lower CT River Valley","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Bielefield School","Public","70 Maynard St.","Middletown","06457","Lower CT River Valley","100","100","100","100","100","100","100","0","0","0"
"Farm Hill School","Public","390 Ridge Rd.","Middletown","06457","Lower CT River Valley","98.7","98.7","98.7","98.7","98.7","98.7","98.7","0","0","0"
"Lawrence School","Public","Kaplan Dr.","Middletown","06457","Lower CT River Valley","95","95","95","96.7","91.7","95","91.7","0","0","0"
"MacDonough School","Public","99 Spruce Street","Middletown","06457","Lower CT River Valley","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Moody School","Public","300 Country Club Rd.","Middletown","06457","Lower CT River Valley","100","100","100","100","100","100","100","0","0","0"
"Queen of the Apostles Preparatory Academy","Non-public","151 Broad ST","Middletown","06457","Lower CT River Valley","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Snow School","Public","299 Wadsworth St.","Middletown","06457","Lower CT River Valley","98","94.1","98","98","98","96.1","94.1","0","2","2"
"Spencer School","Public","207 Westfield St.","Middletown","06457","Lower CT River Valley","100","100","100","100","100","100","100","0","0","0"
"St. John Paul II","Non-public","87 South Main Street","Middletown","06457","Lower CT River Valley","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Wesley School","Public","10 Wesleyan Hills Rd.","Middletown","06457","Lower CT River Valley","97.1","100","100","100","100","100","97.1","0","0","0"
"Calf Pen Meadow School","Public","395 Welch's Point Rd.","Milford","06460","South Central","100","100","100","100","100","100","100","0","0","0"
"J. F. Kennedy School","Public","404 West Ave.","Milford","06460","South Central","100","97.6","100","97.6","100","95.1","95.1","0","0","0"
"Live Oaks School","Public","575 Merwin Ave.","Milford","06460","South Central","100","100","100","100","100","100","100","0","0","0"
"Mathewson School","Public","466 West River St.","Milford","06460","South Central","100","100","100","100","100","100","100","0","0","0"
"Meadowside School","Public","80 Seeman's Ln.","Milford","06460","South Central","100","100","100","100","100","100","100","0","0","0"
"Milestones Behavioral Services-Milford","Public","95 Wolf Harbor Rd","Milford","06461","South Central","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Milford Christian Academy","Non-public","989 New Haven Avenue","Milford","06460","South Central","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Orange Avenue School","Public","260 Orange Ave.","Milford","06460","South Central","100","100","100","100","100","100","100","0","0","0"
"Orchard Hills School","Public","185 Marino Dr.","Milford","06460","South Central","100","100","100","100","100","100","100","0","0","0"
"Pumpkin Delight School","Public","24 Art St.","Milford","06460","South Central","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"St. Mary School-Milford","Non-public","72 Gulf Street","Milford","06460","South Central","97.5","97.5","97.5","97.5","97.5","97.5","97.5","0","2.5","2.5"
"Fawn Hollow Elementary School","Public","375 Fan Hill Rd.","Monroe","06468","Greater Bridgeport","98.9","98.9","97.8","98.9","97.8","98.9","97.8","0","1.1","1.1"
"Monroe Elementary School","Public","375 Monroe Tpke.","Monroe","06468","Greater Bridgeport","100","100","100","100","100","100","100","0","0","0"
"Stepney Elementary School","Public","180 Old Newtown Rd.","Monroe","06468","Greater Bridgeport","98.4","100","98.4","98.4","98.4","96.9","93.8","0","0","0"
"Bradley School-New London Regional","Non-public","26 Maple Avenue","Montville","06382","Southeastern CT","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Dr. Charles E. Murphy School","Public","500 Chesterfield Rd.","Montville","06370","Southeastern CT","97.7","100","100","100","100","97.7","95.3","0","0","0"
"Mohegan School","Public","49 Golden Rd.","Montville","06382","Southeastern CT","100","100","100","100","100","100","100","0","0","0"
"Oakdale School","Public","30 Indiana Circle","Montville","06370","Southeastern CT","100","100","100","100","100","100","100","0","0","0"
"James Morris School","Public","10 East Street","Morris","06763","Northwest Hills","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Andrew Avenue School","Public","140 Andrew Ave.","Naugatuck","06770","Naugatuck Valley","100","100","100","100","100","97.7","97.7","0","0","0"
"Hop Brook Elementary School","Public","75 Crown Street","Naugatuck","06770","Naugatuck Valley","98.4","100","100","100","100","98.4","98.4","0","0","0"
"Maple Hill School","Public","641 Maple Hill Rd.","Naugatuck","06770","Naugatuck Valley","100","100","99","100","98","98","98","0","0","0"
"Western School","Public","100 Pine St.","Naugatuck","06770","Naugatuck Valley","98.4","98.4","98.4","98.4","98.4","98.4","98.4","0","1.6","1.6"
"Chamberlain Elementary School","Public","221 Farmington Ave.","New Britain","06053","Capitol","100","100","100","100","100","98.4","98.4","0","0","0"
"DiLoreto Elementary & Middle School","Public","732 Slater Rd.","New Britain","06053","Capitol","100","100","98.9","100","100","97.7","97.7","0","0","0"
"Gaffney Elementary School","Public","322 Slater Rd.","New Britain","06053","Capitol","100","100","100","100","100","97.9","97.9","0","0","0"
"Holmes Elementary School","Public","2150 Stanley St.","New Britain","06053","Capitol","100","100","100","100","100","100","100","0","0","0"
"Hospital for Special Care","Non-public","2150 Corbin Avenue","New Britain","06053","Capitol","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Jefferson Elementary School","Public","140 Horse Plain Rd.","New Britain","06053","Capitol","97.9","100","100","100","100","100","97.9","0","0","0"
"Lincoln Elementary School","Public","145 Steele St.","New Britain","06052","Capitol","92.6","92.6","92.6","100","92.6","95.1","92.6","0","0","0"
"Northend Elementary School","Public","160 Bassett St.","New Britain","06051","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Queen of the Apostles Preparatory Academy, Inc.","Non-public","30 Pendleton Rd","New Britain","06053","Capitol","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Smalley Elementary School","Public","175 West St.","New Britain","06051","Capitol","97.8","97.8","98.9","100","95.7","98.9","95.7","0","0","0"
"Smith Elementary School","Public","142 Rutherford St.","New Britain","06051","Capitol","100","100","100","100","100","100","100","0","0","0"
"Solterra Academy","Non-public","300 John Downey Drive","New Britain","06051","Capitol","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Vance Elementary School","Public","183 Vance St.","New Britain","06052","Capitol","98.2","100","100","98.2","98.2","100","98.2","0","0","0"
"East School","Public","54 Little Brook Rd.","New Canaan","06840","Western CT","100","100","100","100","100","99.1","99.1","0","0","0"
"New Canaan Country School","Non-public","635 Frogtown Road","New Canaan","06840","Western CT","100","100","100","100","100","100","100","0","0","0"
"South School","Public","8 Farm Rd.","New Canaan","06840","Western CT","100","100","99","100","100","100","99","0","0","0"
"West School","Public","769 Ponus Ridge","New Canaan","06840","Western CT","98.7","98.7","98.7","97.4","98.7","98.7","97.4","0","1.3","1.3"
"New Fairfield Elementary School","Public","24 Gillotti Rd.","New Fairfield","06812","Western CT","92.7","94.4","97.6","98.4","97.6","97.6","91.9","0","0","0"
"Bakerville Consolidated School","Public","51 Cedar Ln.","New Hartford","06057","Northwest Hills","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"New Hartford Elementary School","Public","40 Wickett St.","New Hartford","06057","Northwest Hills","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"All Nations Christian Academy","Non-public","358 Lenox Street","New Haven","06513","South Central","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"All Saints Catholics Academy","Non-public","423 Ferry Street","New Haven","06513","South Central","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Amistad Academy","Public","130 Edgewood Avenue","New Haven","06511","South Central","100","100","100","100","100","100","100","0","0","0"
"Augusta Lewis Troup School","Public","259 Edgewood Ave.","New Haven","06511","South Central","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Barack H. Obama Magnet University School","Public","69 Farnham Ave","New Haven","06515","South Central","100","100","100","100","100","100","100","0","0","0"
"Barnard Environmental Magnet School","Public","170 Derby Ave.","New Haven","06511","South Central","97.5","97.5","97.5","97.5","97.5","97.5","97.5","0","0","0"
"Beecher School","Public","100 Jewel Street","New Haven","06511","South Central","100","97.6","100","100","100","100","97.6","0","0","0"
"Benjamin Jepson Magnet School","Public","15 Lexington Ave.","New Haven","06513","South Central","100","100","100","100","100","100","100","0","0","0"
"Bishop Woods Architecture and Design Magnet School","Public","1481 Quinnipiac Avenue","New Haven","06513","South Central","100","100","100","100","100","100","100","0","0","0"
"Booker T. Washington Academy","Public","804 State Street","New Haven","06511","South Central","100","100","100","100","100","100","100","0","0","0"
"Celentano BioTech, Health and Medical Magnet School","Public","400 Canner Street","New Haven","06511","South Central","100","100","100","100","100","100","100","0","0","0"
"Clinton Avenue School","Public","293 Clinton Ave.","New Haven","06513","South Central","97.2","97.2","97.2","97.2","97.2","94.4","94.4","0","2.8","2.8"
"Cold Spring School","Non-public","263 Chapel Street","New Haven","06513","South Central","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Conte/West Hills Magnet School","Public","511 Chapel St.","New Haven","06511","South Central","100","100","100","100","100","100","100","0","0","0"
"Davis Academy for Arts & Design Innovation","Public","35 Davis St.","New Haven","06515","South Central","100","100","100","100","100","100","100","0","0","0"
"Dr. Reginald Mayo","Non-public","185 Goffe St","New Haven","06511","South Central","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"East Rock Community Magnet School","Public","133 Nash St.","New Haven","06511","South Central","100","100","100","100","100","100","100","0","0","0"
"Edgewood School","Public","737 Edgewood Ave.","New Haven","06515","South Central","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Elm City College Preparatory School k-8","Public","407 James Street","New Haven","06513","South Central","100","96.8","100","100","100","100","96.8","0","0","0"
"Elm City Montessori School","Public","495 Blake Street","New Haven","06515","South Central","97.2","97.2","97.2","97.2","97.2","97.2","97.2","0","0","0"
"Fair Haven School","Public","164 Grand Ave.","New Haven","06513","South Central","100","100","100","100","100","100","100","0","0","0"
"Family Academy of Multilingual Exploration","Public","255 Blatchley Ave.","New Haven","06513","South Central","100","100","100","100","100","100","100","0","0","0"
"Highville Charter School","Public","1 Science Park","New Haven","06511","South Central","97.6","97.6","97.6","97.6","97.6","97.6","97.6","0","0","0"
"Hill Central Music Academy","Public","140 Dewitt St.","New Haven","06519","South Central","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"John C. Daniels","Public","569 Congress Ave.","New Haven","06519","South Central","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"John S. Martinez Sea and Sky STEM School","Public","100 James St.","New Haven","06513","South Central","100","100","100","100","100","100","100","0","0","0"
"King/Robinson Magnet School","Public","150 Fournier St.","New Haven","06511","South Central","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Leila Day","Non-public","100 Cold Spring St","New Haven","06511","South Central","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Mauro-Sheridan Magnet School","Public","191 Fountain St.","New Haven","06515","South Central","100","97.7","95.5","100","100","100","93.2","0","0","0"
"Nathan Hale School","Public","480 Townsend Ave.","New Haven","06512","South Central","100","100","100","100","100","100","100","0","0","0"
"Roberto Clemente Leadership Academy for Global Awareness","Public","360 Columbus Avenue","New Haven","06519","South Central","100","100","100","100","100","100","100","0","0","0"
"Ross/Woodward School","Public","185 Barnes Ave.","New Haven","06513","South Central","97.3","97.3","100","100","100","100","97.3","0","0","0"
"St. Thomas Day School","Non-public","830 Whitney Avenue","New Haven","06511","South Central","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"The Cheder","Non-public","342 Ellsworth Ave","New Haven","06511","South Central","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
