,Facility Number,School Type,School District or Name,Facility Address,Age Group,MMR Vaccination Rate,County
981,225238952,,St Thomas Apostle School,430 Valleybrook Rd,7th Grade,100.0,Delaware
982,125231232,,STEM at Showalter,1100 West 10th Street,12th Grade,87.37,Delaware
983,125239603,,Strath Haven HS,205 S Providence Rd,12th Grade,99.34,Delaware
984,125239603,,Strath Haven MS,200 S Providence Rd,7th Grade,98.67,Delaware
985,225231102,,Sts Colman-John Neumann,372 Highland Ln,Kindergarten,100.0,Delaware
986,225231102,,Sts Colman-John Neumann,372 Highland Ln,7th Grade,100.0,Delaware
987,125236903,,Sun Valley HS,2881 Pancoast Ave,12th Grade,99.62,Delaware
988,125239603,,Swarthmore-Rutledge Sch,100 College Ave,Kindergarten,96.97,Delaware
989,125235103,,Tinicum Sch,First & Seneca Streets,7th Grade,97.87,Delaware
990,125231232,,Toby Farms Intermediate School,201 Bridgewater Road,7th Grade,100.0,Delaware
991,125239452,,Upper Darby Kdg Ctr,3200 State Rd,Kindergarten,98.84,Delaware
992,125239452,,Upper Darby SHS,601 North Lansdowne Avenue,12th Grade,99.13,Delaware
993,225239502,,Valley Forge Military Academy,1001 Eagle Rd,12th Grade,100.0,Delaware
994,125233517,,Vision Academy CS,716 Emerson Avenue East,Kindergarten,91.3,Delaware
995,125233517,,Vision Academy CS,716 Emerson Avenue East,7th Grade,91.67,Delaware
996,125239652,,W B Evans Magnet Sch,900 Baily Rd,Kindergarten,92.11,Delaware
997,225239602,,Walden School,901 North Providence Road,Kindergarten,95.0,Delaware
998,125239603,,Wallingford El Sch,20 S Providence Road,Kindergarten,97.73,Delaware
999,125239652,,Walnut Street El Sch,224 South Sixth Street,Kindergarten,92.31,Delaware
1000,125237603,,Wayne El Sch,651 W Wayne Ave,Kindergarten,100.0,Delaware
1001,125239452,,Westbrook Park El Sch,199 Westbrook Dr,Kindergarten,96.88,Delaware
1002,125237702,,Woodlyn El Sch,1200 Colson Rd.,Kindergarten,100.0,Delaware
1003,125235502,,Worrall El Sch,2979 Pennview Ave,Kindergarten,100.0,Delaware
1004,113361303,,Adamstown El Sch,256 West Main Street,Kindergarten,95.16,Lancaster
1005,113362603,,Akron El Sch,125 S 11th St,Kindergarten,87.93,Lancaster
1006,213363498,,Anchor Christian Academy,PO Box 6124,7th Grade,84.62,Lancaster
1007,113362403,,Bainbridge El Sch,416 N. Second Street,Kindergarten,93.75,Lancaster
1008,113364403,,Baron EL Sch,123 E Gramby St,Kindergarten,98.73,Lancaster
1009,113367003,,Bart-Colerain El Sch,1336 Noble Rd,Kindergarten,83.33,Lancaster
1010,113362303,,Blue Ball El Sch,126 Ewell Rd,Kindergarten,98.0,Lancaster
1011,113364503,,Brecht Sch,1250 Lititz Pike,Kindergarten,95.83,Lancaster
1012,113362303,,Brecknock El Sch,361 School Rd,Kindergarten,83.64,Lancaster
1013,113361703,,Brownstown El Sch,51 School Lane,Kindergarten,94.83,Lancaster
1014,113364503,,Bucher Sch,450 Candlewyck Rd,Kindergarten,97.94,Lancaster
1015,113364002,,Burrowes El Sch,1001 E Orange St,Kindergarten,100.0,Lancaster
1016,113364002,,Carter and MacRae El Sch,251 S Prince St,Kindergarten,94.2,Lancaster
1017,113363103,,Centerville El Sch,901 Centerville Rd,Kindergarten,98.85,Lancaster
1018,113363103,,Centerville MS,865 Centerville Rd,7th Grade,97.95,Lancaster
1019,113365203,,Central Manor El Sch,3717 Blue Rock Rd,Kindergarten,98.61,Lancaster
1020,113362603,,Clay El Sch,250 Clay School Rd,Kindergarten,90.36,Lancaster
1021,113367003,,Clermont El Sch,1868 Robert Fulton Hwy,Kindergarten,90.54,Lancaster
1022,113361303,,Cocalico MS,South 6th Street,7th Grade,97.17,Lancaster
1023,113361303,,Cocalico MS,South 6th Street,7th Grade - Home School,26.83,Lancaster
1024,113361303,,Cocalico SHS,South 4th Street,12th Grade,97.05,Lancaster
1025,113361503,,Columbia HS,901 Ironville Pike,7th Grade,98.78,Lancaster
1026,113361503,,Columbia HS,901 Ironville Pike,12th Grade,98.86,Lancaster
1027,113361503,,Columbia MS Hill Campus,901 Ironville Pike,7th Grade,98.78,Lancaster
1028,213361162,,Conestoga Christian School,2760 Main St,Kindergarten,87.88,Lancaster
1029,213361162,,Conestoga Christian School,2760 Main St,7th Grade,100.0,Lancaster
1030,213361162,,Conestoga Christian School,2760 Main St,12th Grade,83.33,Lancaster
1031,113365203,,Conestoga El Sch,100 Hill St,Kindergarten,92.11,Lancaster
1032,113361703,,Conestoga Valley SHS,2110 Horseshoe Rd,12th Grade,98.08,Lancaster
1033,213361242,,Dayspring Christian Academy,120 College Avenue,Kindergarten,54.84,Lancaster
1034,213361242,,Dayspring Christian Academy,120 College Avenue,7th Grade,65.52,Lancaster
1035,113361303,,Denver El Sch,South 4th Street,Kindergarten,91.03,Lancaster
1036,113364403,,Doe Run El Sch,281 Doe Run Rd,Kindergarten,95.42,Lancaster
1037,113362203,,Donegal HS,1025 Koser Road,12th Grade,98.48,Lancaster
1038,113362203,,Donegal JHS,915 Anderson Ferry Road,7th Grade,100.0,Lancaster
1039,113362203,,Donegal Primary School,1055 Koser Rd,Kindergarten,95.9,Lancaster
1040,113362403,,East High Street El Sch,800 E High St,Kindergarten,94.87,Lancaster
1041,113363103,,East Petersburg El Sch,5700 Lemon St,Kindergarten,98.04,Lancaster
1042,113362403,,Elizabethtown Area MS,600 E High St,7th Grade,97.92,Lancaster
1043,113362403,,Elizabethtown Area SHS,600 E High St,12th Grade,98.67,Lancaster
1044,213361402,,Ephrata Mennonite School,635 Stevens Road,Kindergarten,54.29,Lancaster
1045,213361402,,Ephrata Mennonite School,635 Stevens Road,7th Grade,74.19,Lancaster
1046,213361402,,Ephrata Mennonite School,635 Stevens Road,12th Grade,89.29,Lancaster
1047,113362603,,Ephrata MS,957 Hammon Ave,7th Grade,97.06,Lancaster
1048,113362603,,Ephrata MS,957 Hammon Ave,7th Grade - Home School,73.91,Lancaster
1049,113362603,,Ephrata SHS,803 Oak Blvd,12th Grade,96.78,Lancaster
1050,113365203,,Eshleman El Sch,545 Leaman Ave,Kindergarten,100.0,Lancaster
1051,213361442,,Faith Mennonite High School,5085 Woodland Dr,12th Grade,64.0,Lancaster
1052,113363103,,Farmdale El Sch,695 Prospect Rd,Kindergarten,98.18,Lancaster
1053,113361703,,Fritz El Sch,845 Hornig Rd,Kindergarten,97.47,Lancaster
1054,113364002,,Fulton El Sch,225 W Orange St,Kindergarten,95.12,Lancaster
1055,113362603,,Fulton El Sch,51 East Fulton Street,Kindergarten,92.59,Lancaster
1056,113362303,,Garden Spot MS,669 E Main St # 609,7th Grade,98.94,Lancaster
1057,113362303,,Garden Spot MS,669 E Main St # 609,7th Grade - Home School,52.83,Lancaster
1058,113362303,,Garden Spot SHS,669 E Main St,12th Grade,97.06,Lancaster
1059,113362303,,Garden Spot SHS,669 E Main St,12th Grade - Home School,52.38,Lancaster
1060,213361602,,Gehmans Mennonite School,650 Gehman School Rd,Kindergarten,58.33,Lancaster
1061,213361602,,Gehmans Mennonite School,650 Gehman School Rd,7th Grade,70.0,Lancaster
1062,113361703,,Gerald G Huesken MS,2114 Horseshoe Rd,7th Grade,96.97,Lancaster
1063,113361703,,Gerald G Huesken MS,2114 Horseshoe Rd,7th Grade - Home School,26.67,Lancaster
1064,113365203,,Hambright El Sch,3000 Charlestown Rd,Kindergarten,98.65,Lancaster
1065,113364002,,Hamilton El Sch,1300 Wabank Rd,Kindergarten,95.52,Lancaster
1066,113363103,,Hempfield SHS,200 Stanley Ave,12th Grade,98.19,Lancaster
1067,113362603,,Highland El Sch,99 Highland Ave,Kindergarten,94.25,Lancaster
1068,213362162,,Hinkletown Mennonite School,272 Wanner Rd,Kindergarten,76.92,Lancaster
1069,213362162,,Hinkletown Mennonite School,272 Wanner Rd,7th Grade,85.71,Lancaster
1070,113364002,,Jackson MS,431 S Ann St,7th Grade,98.92,Lancaster
1071,113369003,,John Beck El Sch,418 E Lexington Rd,Kindergarten,90.91,Lancaster
1072,113369003,,John R Bonfield El Sch,101 N Oak St,Kindergarten,92.06,Lancaster
1073,113364002,,King El Sch,466 Rockland St,Kindergarten,98.31,Lancaster
1074,113369003,,Kissel Hill El Sch,215 Landis Valley Rd,Kindergarten,94.2,Lancaster
1075,213363502,,Kraybill Mennonite School,598 Kraybill Church Rd,Kindergarten,82.35,Lancaster
1076,113362940,,La Academia Partnership CS,30 N Ann Street,7th Grade,87.88,Lancaster
1077,113362940,,La Academia Partnership CS,30 N Ann Street,12th Grade,96.67,Lancaster
1078,113364002,,Lafayette El Sch,1000 Fremont St,Kindergarten,95.24,Lancaster
1079,113363603,,Lampeter El Sch,1600 Book Rd,Kindergarten,94.05,Lancaster
1080,113363603,,Lampeter-Strasburg SHS,1600 Book Rd,12th Grade,98.62,Lancaster
1081,213368002,,Lancaster Catholic High School,650 Juliette Ave,12th Grade,99.2,Lancaster
1082,213363552,,Lancaster Country Day School,725 Hamilton Rd,Kindergarten,100.0,Lancaster
1083,213363552,,Lancaster Country Day School,725 Hamilton Rd,7th Grade,100.0,Lancaster
1084,213363552,,Lancaster Country Day School,725 Hamilton Rd,12th Grade,100.0,Lancaster
1085,213367952,,Lancaster County Christian School - Leola Campus,2390 New Holland Pike,Kindergarten,97.06,Lancaster
1086,213367952,,Lancaster County Christian School - Leola Campus,2390 New Holland Pike,7th Grade,81.58,Lancaster
1087,213367952,,Lancaster County Christian School - Leola Campus,2390 New Holland Pike,12th Grade,96.77,Lancaster
1088,213363632,,Lancaster Mennonite School Lancaster Campus,2176 Lincoln Hwy E,Kindergarten,94.29,Lancaster
1089,213363632,,Lancaster Mennonite School Lancaster Campus,2176 Lincoln Hwy E,7th Grade,86.36,Lancaster
1090,213363632,,Lancaster Mennonite School Lancaster Campus,2176 Lincoln Hwy E,12th Grade,96.67,Lancaster
1091,113000000,,Lancaster-Lebanon IU 13,1020 New Holland Avenue,12th Grade,96.97,Lancaster
1092,113363103,,Landisville MS,340 Mumma Dr,7th Grade,98.01,Lancaster
1093,113363103,,Landisville Pri Ctr,320 Mumma Dr,Kindergarten,94.96,Lancaster
1094,113361703,,Leola El Sch,2426 Old Philadelphia Pike,Kindergarten,88.89,Lancaster
1095,113365203,,Letort El Sch,561 Letort Rd,Kindergarten,94.87,Lancaster
1096,113364002,,Lincoln MS,1001 Lehigh Ave,7th Grade,99.43,Lancaster
1097,213364051,,Linville Hill Christian High School,295 S Kinzer Road,7th Grade,62.5,Lancaster
1098,213363782,,Linville Hill Christian School,295 S Kinzer Rd,Kindergarten,40.0,Lancaster
1099,213363792,,Lititz Area Mennonite School,1050 E Newport Rd,Kindergarten,63.64,Lancaster
1100,213363792,,Lititz Area Mennonite School,1050 E Newport Rd,7th Grade,93.1,Lancaster
1101,113369003,,Lititz El Sch,20 S Cedar St,Kindergarten,87.84,Lancaster
1102,113364403,,Manheim Central MS,261 White Oak Rd,7th Grade,96.65,Lancaster
1103,113364403,,Manheim Central MS,261 White Oak Rd,7th Grade - Home School,54.17,Lancaster
1104,113364403,,Manheim Central SHS,400 Adele Ave,12th Grade,98.99,Lancaster
1105,213363952,,Manheim Christian Day School,686 Lebanon Rd,Kindergarten,78.12,Lancaster
1106,213363952,,Manheim Christian Day School,686 Lebanon Rd,7th Grade,86.36,Lancaster
1107,113364503,,Manheim Twp HS,PO Box 5134,12th Grade,100.0,Lancaster
1108,113364503,,Manheim Twp MS,PO Box 5134,7th Grade,98.67,Lancaster
1109,113365203,,Manor Middle School,2950 Charlestown Rd,7th Grade,98.25,Lancaster
1110,113365203,,Martic El Sch,266 Martic Heights Dr,Kindergarten,100.0,Lancaster
1111,113365203,,Marticville MS,356 Frogtown Rd,7th Grade,98.0,Lancaster
1112,113363603,,Martin Meylin MS,1600 Book Rd,7th Grade,91.74,Lancaster
1113,113364002,,Martin School,2000 Wabank Rd,Kindergarten,94.74,Lancaster
1114,113364002,,Martin School,2000 Wabank Rd,7th Grade,91.78,Lancaster
1115,113364002,,McCaskey Campus,445 N Reservoir St,12th Grade,99.76,Lancaster
1116,213364252,,Mount Calvary Christian School,629 N. Holly St,Kindergarten,84.0,Lancaster
1117,213364252,,Mount Calvary Christian School,629 N. Holly St,7th Grade,86.96,Lancaster
1118,213364252,,Mount Calvary Christian School,629 N. Holly St,12th Grade,81.48,Lancaster
1119,113363103,,Mountville El Sch,200 College Ave,Kindergarten,96.92,Lancaster
1120,113364503,,Neff Sch,PO Box 5134,Kindergarten,96.67,Lancaster
1121,113362303,,New Holland Elementary,126 Eastern School Rd,Kindergarten,93.55,Lancaster
1122,113364503,,Nitrauer Sch,811 Ashbourne Ave,Kindergarten,97.85,Lancaster
1123,213365002,,Our Mother Perpetual Help,330 Church Ave,Kindergarten,81.82,Lancaster
1124,113365303,,Paradise El Sch,20 N Belmont Rd,Kindergarten,95.65,Lancaster
1125,113361503,,Park El Sch,50 S 6th St,Kindergarten,98.2,Lancaster
1126,113365203,,Penn Manor HS,PO Box 1001,12th Grade,98.31,Lancaster
1127,113365203,,Pequea El Sch,802 Millwood Rd,Kindergarten,91.11,Lancaster
1128,113365303,,Pequea Valley HS,4033 E Newport Rd,12th Grade,98.29,Lancaster
1129,113365303,,Pequea Valley Intrmd Sch,166 S New Holland Rd,7th Grade,95.0,Lancaster
1130,113365303,,Pequea Valley Intrmd Sch,166 S New Holland Rd,7th Grade - Home School,36.67,Lancaster
1131,113364002,,Phoenix Academy,630 Rockland St,12th Grade,97.06,Lancaster
1132,113364002,,Price El Sch,615 Fairview Ave,Kindergarten,91.67,Lancaster
1133,113367003,,Providence El Sch,137 Truce Rd,Kindergarten,90.91,Lancaster
1134,113367003,,Quarryville El Sch,211 S Hess St,Kindergarten,91.8,Lancaster
1135,113361303,,Reamstown El Sch,44 South Reamstown Road,Kindergarten,91.18,Lancaster
1136,113364503,,Reidenbaugh El Sch,1001 Buckwalter Rd,Kindergarten,94.05,Lancaster
1137,113364002,,Reynolds MS,605 W Walnut St,7th Grade,96.69,Lancaster
1138,113363103,,Rohrerstown El Sch,2200 Noll Drive,Kindergarten,91.67,Lancaster
1139,113364002,,Ross El Sch,840 N Queen St,Kindergarten,96.0,Lancaster
1140,113365303,,Salisbury El Sch,422 School Lane Rd,Kindergarten,90.0,Lancaster
1141,113364503,,Schaeffer Sch,875 Pleasure Rd,Kindergarten,98.63,Lancaster
1142,213360039,,Shalom Mennonite School,1410 Union Grove Road,Kindergarten,58.33,Lancaster
1143,213360039,,Shalom Mennonite School,1410 Union Grove Road,7th Grade,76.19,Lancaster
1144,113367003,,Smith MS,645 Kirkwood Pike,7th Grade,98.37,Lancaster
1145,113367003,,Smith MS,645 Kirkwood Pike,7th Grade - Home School,71.43,Lancaster
1146,113364002,,Smith-Wade-El El Sch,910 Hamilton Park Drive,Kindergarten,98.48,Lancaster
1147,113361703,,Smoketown El Sch,500 Mount Sidney Road,Kindergarten,100.0,Lancaster
1148,113367003,,Solanco HS,585 Solanco Rd,12th Grade,97.48,Lancaster
1149,113367003,,Solanco HS,585 Solanco Rd,12th Grade - Home School,86.96,Lancaster
1150,213367102,,St John Neumann Catholic School,601 E Delp Road,Kindergarten,85.71,Lancaster
1151,213367102,,St John Neumann Catholic School,601 E Delp Road,7th Grade,100.0,Lancaster
1152,213367502,,St Leo the Great School,2427 Marietta Ave,Kindergarten,90.91,Lancaster
1153,213367502,,St Leo the Great School,2427 Marietta Ave,7th Grade,100.0,Lancaster
1154,113367003,,Swift MS,1866 Robert Fulton Hwy,7th Grade,97.6,Lancaster
1155,213368252,,Veritas Academy,26 Hillcrest Ave,Kindergarten,83.78,Lancaster
1156,213368252,,Veritas Academy,26 Hillcrest Ave,7th Grade,96.55,Lancaster
1157,113369003,,Warwick MS,401 Maple St,7th Grade,95.95,Lancaster
1158,113369003,,Warwick MS,401 Maple St,7th Grade - Home School,29.17,Lancaster
1159,113369003,,Warwick SHS,301 W Orange St,12th Grade,97.66,Lancaster
1160,113364002,,Washington El Sch,545 S Ann St,Kindergarten,100.0,Lancaster
1161,113364002,,Wharton El Sch,705 N Mary St,Kindergarten,100.0,Lancaster
1162,113364002,,Wheatland MS,919 Hamilton Park Dr,7th Grade,98.46,Lancaster
1163,113364002,,Wickersham El Sch,401 N Reservoir St,Kindergarten,97.37,Lancaster
1164,223460102,,Abington Friends School,575 Washington Ln,Kindergarten,91.67,Montgomery
1165,223460102,,Abington Friends School,575 Washington Ln,7th Grade,100.0,Montgomery
1166,223460102,,Abington Friends School,575 Washington Ln,12th Grade,100.0,Montgomery
1167,123460302,,Abington MS,2056 Susquehanna St,7th Grade,99.34,Montgomery
1168,123460302,,Abington SHS,900 Highland Avenue,12th Grade,99.01,Montgomery
1169,326510076,,Academy in Manayunk,1200 River Rd,7th Grade,95.45,Montgomery
1170,326510076,,Academy in Manayunk,1200 River Rd,12th Grade,100.0,Montgomery
1171,223460152,,Academy of the New Ch Boys,2815 Benade Circle,12th Grade,90.62,Montgomery
1172,223460162,,Academy of the New Church Girls,2815 Benade Circle,12th Grade,92.59,Montgomery
1173,126510020,,Agora Cyber CS,1018 West 8th Avenue,Kindergarten,80.75,Montgomery
1174,126510020,,Agora Cyber CS,1018 West 8th Avenue,7th Grade,96.22,Montgomery
1175,126510020,,Agora Cyber CS,1018 West 8th Avenue,12th Grade,97.12,Montgomery
1176,223460502,,Ancillae Assumpta Academy,2025 Church Rd,Kindergarten,93.75,Montgomery
1177,223460502,,Ancillae Assumpta Academy,2025 Church Rd,7th Grade,100.0,Montgomery
1178,123465303,,Arcola Intrmd Sch,40001A Eagleville Road,7th Grade,98.11,Montgomery
1179,123465303,,Arrowhead El Sch,232 Level Rd,Kindergarten,94.38,Montgomery
1180,300460920,,Bala Cynwyd School for Young Children,11 Saint Asaphs Rd,Kindergarten,96.97,Montgomery
1181,300460900,,Bala House Montessori,27 Conshohocken State Rd,Kindergarten,91.67,Montgomery
1182,123464502,,Bala-Cynwyd MS,510 Bryn Mawr Ave,7th Grade,97.81,Montgomery
1183,223469252,,Baldwin School,701 W. Montgomery Ave,7th Grade,100.0,Montgomery
1184,223469252,,Baldwin School,701 W. Montgomery Ave,12th Grade,100.0,Montgomery
1185,123466403,,Barth El Sch,467 W Walnut St,Kindergarten,86.67,Montgomery
1186,123464502,,Belmont Hills El Sch,200 School Street,Kindergarten,100.0,Montgomery
1187,123464502,,Black Rock MS,1860 W Montgomery Ave,7th Grade,99.62,Montgomery
1188,123463603,,Blair Mill El Sch,109 Bender Road,Kindergarten,98.11,Montgomery
1189,123465602,,Blockson MS,1315 W Marshall St,7th Grade,99.46,Montgomery
1190,123469303,,Blue Bell El Sch,801 Symphony Ln,Kindergarten,95.83,Montgomery
1191,123468402,,Bridgeport El Sch,900 Bush and School Lane,Kindergarten,92.31,Montgomery
1192,123465702,,Bridle Path El Sch,200 Bridle Path Rd,Kindergarten,98.48,Montgomery
1193,123467303,,Brooke El Sch,339 N Lewis Rd,Kindergarten,97.33,Montgomery
1194,223460732,,Bryn Athyn Church School,PO Box 277,Kindergarten,81.82,Montgomery
1195,223460732,,Bryn Athyn Church School,PO Box 277,7th Grade,84.0,Montgomery
1196,123468402,,Caley El Sch,725 Caley Road,Kindergarten,97.3,Montgomery
1197,223460752,,Calvary Baptist School,1380 S. Valley Forge Road,Kindergarten,50.0,Montgomery
1198,223460752,,Calvary Baptist School,1380 S. Valley Forge Road,7th Grade,96.3,Montgomery
1199,123468402,,Candlebrook El Sch,310 Prince Frederick St,Kindergarten,100.0,Montgomery
1200,123461302,,Cedarbrook MS,300 Longfellow Rd,7th Grade,96.63,Montgomery
1201,300462850,,Centre Square Montessori Schoolhouse,1775 Skippack Pike,Kindergarten,85.0,Montgomery
1202,123461302,,Cheltenham El Sch,7853 Front Street,Kindergarten,97.7,Montgomery
1203,123461302,,Cheltenham HS,500 Rices Mill Rd,12th Grade,98.42,Montgomery
1204,123461602,,Colonial MS,716 Belvoir Rd,7th Grade,99.31,Montgomery
1205,123461602,,Conshohocken El Sch,3rd Avenue & Harry Street,Kindergarten,98.41,Montgomery
1206,123460302,,Copper Beech Sch,825 N Easton Road,Kindergarten,95.74,Montgomery
1207,223460802,,Corpus Christi School,920 Sumneytown Pike,Kindergarten,100.0,Montgomery
1208,223460802,,Corpus Christi School,920 Sumneytown Pike,7th Grade,100.0,Montgomery
1209,223460942,,Coventry Christian Schools Inc,699 North Pleasantview Road,Kindergarten,74.42,Montgomery
1210,223460942,,Coventry Christian Schools Inc,699 North Pleasantview Road,7th Grade,87.8,Montgomery
1211,123463603,,Crooked Billet El Sch,69 Meadowbrook Ave,Kindergarten,93.06,Montgomery
1212,123464502,,Cynwyd Sch,101 W Levering Mill Rd,Kindergarten,100.0,Montgomery
1213,223460782,,Dock Mennonite Academy,1000 Forty Foot Rd,12th Grade,100.0,Montgomery
1214,223465472,,Dock Mennonite Academy Elem,420 Godshall Road,Kindergarten,93.94,Montgomery
1215,223465472,,Dock Mennonite Academy Elem,420 Godshall Road,7th Grade,97.56,Montgomery
1216,123467103,,E M Crouthamel El Sch,143 S School Ln,Kindergarten,95.38,Montgomery
1217,123465303,,Eagleville El Sch,125 Summit Ave,Kindergarten,100.0,Montgomery
1218,123465602,,East Norriton MS,330 Roland Dr,7th Grade,97.47,Montgomery
1219,123465602,,Eisenhower MS,1601 Markley St,7th Grade,97.58,Montgomery
1220,123467303,,Evans El Sch,125 Sunset Rd,Kindergarten,95.19,Montgomery
1221,123466103,,Evergreen El Sch,98 Kagey Rd,Kindergarten,98.21,Montgomery
1222,300469050,,Fairwold Academy,2101 Pennsylvania Avenue,7th Grade,100.0,Montgomery
1223,300469050,,Fairwold Academy,2101 Pennsylvania Avenue,12th Grade,100.0,Montgomery
1224,123468303,,Fitzwater El Sch,School Lane,Kindergarten,96.51,Montgomery
1225,123468303,,Fort Washington El Sch,Highland & Fort Washington Aves,Kindergarten,98.75,Montgomery
1226,123467103,,Franconia El Sch,366 Harleysville Pike,Kindergarten,89.71,Montgomery
1227,123466403,,Franklin El Sch,970 N Franklin St,Kindergarten,95.77,Montgomery
1228,300461960,,French International Sch Phila,150 N Highland Ave,Kindergarten,91.67,Montgomery
1229,300461960,,French International Sch Phila,150 N Highland Ave,7th Grade,100.0,Montgomery
1230,223461322,,Friends Central Lower School,228 Old Gulph Road,Kindergarten,100.0,Montgomery
1231,223461302,,Friends Central School,1101 City Ave,Kindergarten,100.0,Montgomery
1232,223461302,,Friends Central School,1101 City Ave,7th Grade,100.0,Montgomery
1233,223461302,,Friends Central School,1101 City Ave,12th Grade,97.67,Montgomery
1234,300462460,,Gateway School,24 Old Gulph Rd,Kindergarten,90.0,Montgomery
1235,123465702,,General Nash El Sch,1560 Liberty Bell Dr,Kindergarten,100.0,Montgomery
1236,223461502,,Germantown Academy,PO Box 287,Kindergarten,100.0,Montgomery
1237,223461502,,Germantown Academy,PO Box 287,7th Grade,100.0,Montgomery
1238,223461502,,Germantown Academy,PO Box 287,12th Grade,100.0,Montgomery
1239,300461550,,Gladwyne Montessori School,920 Youngsford Rd,Kindergarten,92.59,Montgomery
1240,123464502,,Gladwyne Sch,230 West Righters Mill Rd,Kindergarten,96.59,Montgomery
1241,123461302,,Glenside El Sch,400 Harrison Ave,Kindergarten,98.25,Montgomery
1242,323463627,,Goddard School,124 Bryn Mawr Avenue,Kindergarten,90.91,Montgomery
1243,123468402,,Gulph EL Sch,650 S Henderson Rd,Kindergarten,94.44,Montgomery
1244,123465702,,Gwyn-Nor El Sch,139 Hancock Road,Kindergarten,98.89,Montgomery
1245,223461802,,Gwynedd Mercy Acad El Division,"816 Norristown Road, PO Box 241",Kindergarten,94.44,Montgomery
1246,223461802,,Gwynedd Mercy Acad El Division,"816 Norristown Road, PO Box 241",7th Grade,98.15,Montgomery
1247,223461752,,Gwynedd Mercy High School,1345 Sumneytown Pk,12th Grade,100.0,Montgomery
1248,123465702,,Gwynedd Square El Sch,1641 Supplee Rd,Kindergarten,97.47,Montgomery
1249,123463603,,Hallowell El Sch,501 Moreland Ave,Kindergarten,98.46,Montgomery
1250,123464502,,Harriton SHS,600 N Ithan Ave,12th Grade,100.0,Montgomery
1251,123463603,,Hatboro-Horsham SHS,899 Horsham Road,12th Grade,98.15,Montgomery
1252,123465702,,Hatfield El Sch,1701 Fairgrounds Road,Kindergarten,100.0,Montgomery
1253,223469352,,Haverford School,450 Lancaster Ave,Kindergarten,100.0,Montgomery
1254,223469352,,Haverford School,450 Lancaster Ave,7th Grade,100.0,Montgomery
1255,223469352,,Haverford School,450 Lancaster Ave,12th Grade,100.0,Montgomery
1256,123468603,,Hereford El Sch,1043 Gravel Pike,Kindergarten,95.68,Montgomery
1257,123460302,,Highland Sch,1301 Edge Hill Rd,Kindergarten,98.8,Montgomery
1258,223469402,,Hill School,860 Beech Street,12th Grade,100.0,Montgomery
1259,223467102,,Holy Child School at Rosemont,1344 Montgomery Ave,Kindergarten,97.22,Montgomery
1260,223467102,,Holy Child School at Rosemont,1344 Montgomery Ave,7th Grade,95.24,Montgomery
1261,223460017,,Holy Cross Regional Catholic School,701 Locust Street,Kindergarten,98.33,Montgomery
1262,223460017,,Holy Cross Regional Catholic School,701 Locust Street,7th Grade,100.0,Montgomery
1263,223461102,,Holy Rosary Regional Catholic School,3040 Walton Rd,7th Grade,100.0,Montgomery
1264,123467103,,Indian Crest MS,139 Harleysville Pike,7th Grade,94.0,Montgomery
1265,223462052,,Indian Valley Kindergarten,423 N Main St,Kindergarten,45.83,Montgomery
1266,123467103,,Indian Valley MS,130 Maple Ave,7th Grade,98.31,Montgomery
1267,123465702,,Inglewood El Sch,1313 Allentown Road,Kindergarten,100.0,Montgomery
1268,123468303,,Jarrettown El Sch,1520 Limekiln Pike,Kindergarten,97.26,Montgomery
1269,123463803,,Jenkintown El Sch,West & Highland Avenues,Kindergarten,100.0,Montgomery
1270,123463803,,Jenkintown Middle/High School,West and Highlands Avenues,7th Grade,100.0,Montgomery
1271,123463803,,Jenkintown Middle/High School,West and Highlands Avenues,12th Grade,97.92,Montgomery
1272,123463603,,Keith Valley MS,227 Meetinghouse Road,7th Grade,99.09,Montgomery
1273,123465702,,Knapp El Sch,698 Knapp Road,Kindergarten,98.82,Montgomery
1274,226519532,,Kohelet Yeshiva,223 N. Highland Avenue,Kindergarten,100.0,Montgomery
1275,226519532,,Kohelet Yeshiva,223 N. Highland Avenue,7th Grade,100.0,Montgomery
1276,226519532,,Kohelet Yeshiva,223 N. Highland Avenue,12th Grade,100.0,Montgomery
1277,223460020,,Kosloff Torah Academy High School for Girls,50 Montgomery Avenue,12th Grade,96.88,Montgomery
1278,123465702,,Kulp El Sch,801 Cowpath Rd,Kindergarten,94.29,Montgomery
1279,300463280,,Lakeside School,1350 Welsh Road,12th Grade,93.75,Montgomery
1280,300462550,,Lane Good Council Montessori School,125 E County Line Road,Kindergarten,100.0,Montgomery
1281,223462502,,Lansdale Catholic High School,700 Lansdale Ave.,12th Grade,97.78,Montgomery
1282,223462602,,LaSalle College High School,8605 Cheltenham Ave,12th Grade,99.2,Montgomery
1283,123467303,,Limerick El Sch,81 Limerick Center Rd,Kindergarten,97.56,Montgomery
1284,123466403,,Lincoln El Sch,461 N York St,Kindergarten,88.68,Montgomery
1285,123469303,,Lower Gwynedd El Sch,571 Houston Rd,Kindergarten,96.94,Montgomery
1286,123464502,,Lower Merion HS,315 E Montgomery Ave,12th Grade,98.45,Montgomery
1287,123464603,,Lower Moreland HS,545 Red Lion Rd,12th Grade,98.62,Montgomery
1288,223464022,,Main Line Reform Temple,410 Montgomery Ave,Kindergarten,100.0,Montgomery
1289,123468303,,Maple Glen El Sch,1581 Fort Washington Avenue,Kindergarten,98.48,Montgomery
