Facility Number,School Type,School District or Name,Facility Address,County,MMR Vaccination Rate,Age Group
,,Acadia Academy,,Androscoggin,100.0,Kindergarten
,,Central Maine Christian Academy,,Androscoggin,62.5,Kindergarten
,,Connors Elementary,,Androscoggin,86.0,Kindergarten
,,East Auburn Community School,,Androscoggin,100.0,Kindergarten
,,Elm St. School,,Androscoggin,100.0,Kindergarten
,,Fairview Elementary School,,Androscoggin,98.48,Kindergarten
,,Farwell Elementary,,Androscoggin,98.41,Kindergarten
,,Geiger Elementary,,Androscoggin,94.29,Kindergarten
,,Greene Central School,,Androscoggin,100.0,Kindergarten
,,Leeds Central School,,Androscoggin,100.0,Kindergarten
,,Lisbon Community School,,Androscoggin,100.0,Kindergarten
,,Minot Consolidated School,,Androscoggin,100.0,Kindergarten
,,Montello Elementary,,Androscoggin,96.59,Kindergarten
,,Park Avenue Elementary,,Androscoggin,98.21,Kindergarten
,,Poland Community School,,Androscoggin,100.0,Kindergarten
,,"RSU5, Durham Community School",,Androscoggin,96.08,Kindergarten
,,Saint Dominic Academy,,Androscoggin,96.3,Kindergarten
,,Sherwood Heights Elementary School,,Androscoggin,100.0,Kindergarten
,,Spruce Mountain Primary School,,Androscoggin,98.17,Kindergarten
,,St Dominici Academy,,Androscoggin,100.0,Kindergarten
,,The Margaret Murphy Centers for Children,,Androscoggin,83.33,Kindergarten
,,Thomas J McMahon,,Androscoggin,95.65,Kindergarten
,,Turner Primary School,,Androscoggin,100.0,Kindergarten
,,Walton Elementary School,,Androscoggin,100.0,Kindergarten
,,Androscoggin County Totals,,Androscoggin,96.85,Kindergarten
,,Caribou Community School,,Aroostook,98.55,Kindergarten
,,Connor Consolidated School,,Aroostook,100.0,Kindergarten
,,Dawn F. Barnes Elementary School,,Aroostook,100.0,Kindergarten
,,Easton School Department,,Aroostook,100.0,Kindergarten
,,Fort Kent Elementary School,,Aroostook,94.92,Kindergarten
,,Greater Houlton Christian Academy,,Aroostook,100.0,Kindergarten
,,Houlton Elementary Schhool RSU 29,,Aroostook,100.0,Kindergarten
,,Limestone Community School,,Aroostook,100.0,Kindergarten
,,Madawaska Elementary School,,Aroostook,100.0,Kindergarten
,,Mapleton Elementary School,,Aroostook,93.33,Kindergarten
,,Miranda J Carney,,Aroostook,100.0,Kindergarten
,,MSAD 20,,Aroostook,100.0,Kindergarten
,,MSAD 70,,Aroostook,97.06,Kindergarten
,,MSAD#33,,Aroostook,90.0,Kindergarten
,,Pine Street Elementary School,,Aroostook,94.59,Kindergarten
,,RSU #50 - Southern Aroostook Community School,,Aroostook,100.0,Kindergarten
,,RSU 88/MSAD #24,,Aroostook,94.44,Kindergarten
,,Washburn Elementary and High School / MSAD45,,Aroostook,100.0,Kindergarten
,,Woodland Consolidated School,,Aroostook,95.65,Kindergarten
,,Aroostook County Totals,,Aroostook,97.24,Kindergarten
,,Amanda C Rowe Elementary School,,Cumberland,98.73,Kindergarten
,,Blue Point School,,Cumberland,100.0,Kindergarten
,,Burchard Dunn School,,Cumberland,98.41,Kindergarten
,,Chebeague Island School,,Cumberland,100.0,Kindergarten
,,Cliff Island School,,Cumberland,100.0,Kindergarten
,,Congin School,,Cumberland,94.29,Kindergarten
,,Dora L. Small School,,Cumberland,91.67,Kindergarten
,,East End Community School,,Cumberland,97.96,Kindergarten
,,Edna Libby Elementary School,,Cumberland,100.0,Kindergarten
,,Eight Corners School,,Cumberland,98.95,Kindergarten
,,Falmouth Public Schools,,Cumberland,99.23,Kindergarten
,,Fiddlehead School of Arts and Sciences,,Cumberland,100.0,Kindergarten
,,Frank I. Brown Elementary School,,Cumberland,95.45,Kindergarten
,,Gerald E Talbot Community School,,Cumberland,92.73,Kindergarten
,,Great Falls Elementary School,,Cumberland,100.0,Kindergarten
,,Greater Portland Christian School,,Cumberland,88.89,Kindergarten
,,Harpswell Community School,,Cumberland,100.0,Kindergarten
,,Harrison Lyseth Elementary School,,Cumberland,95.7,Kindergarten
,,Helena H. Dyer Elementary School,,Cumberland,100.0,Kindergarten
,,Howard Reiche Elementary School,,Cumberland,95.16,Kindergarten
,,James Otis Kaler Elementary,,Cumberland,93.18,Kindergarten
,,Kate Furbish Elementary School,,Cumberland,99.36,Kindergarten
,,Longfellow Elementary,,Cumberland,97.14,Kindergarten
,,Mabel I. Wilson,,Cumberland,99.33,Kindergarten
,,Maine Coast Waldorf School,,Cumberland,96.43,Kindergarten
,,Morse Street School,,Cumberland,100.0,Kindergarten
,,Narragansett Elementary / Gorham School District,,Cumberland,100.0,Kindergarten
,,North Yarmouth Academy,,Cumberland,100.0,Kindergarten
,,Ocean Ave Elementary School,,Cumberland,98.21,Kindergarten
,,Oxford-Cumberland Canal School,,Cumberland,97.37,Kindergarten
,,Peaks Island Elementary School,,Cumberland,100.0,Kindergarten
,,Pleasant Hill Primary School,,Cumberland,100.0,Kindergarten
,,Pond Cove Elementary,,Cumberland,100.0,Kindergarten
,,Pownal Elementary School,,Cumberland,100.0,Kindergarten
,,Presumpscot School,,Cumberland,95.12,Kindergarten
,,Raymond Elementary School,,Cumberland,100.0,Kindergarten
,,Saccarappa School,,Cumberland,89.29,Kindergarten
,,Sebago Elementary School,,Cumberland,81.25,Kindergarten
,,Skillin Elementary,,Cumberland,84.91,Kindergarten
,,Songo Locks School,,Cumberland,100.0,Kindergarten
,,St. Brigid School,,Cumberland,93.55,Kindergarten
,,Steep Falls Elementary School,,Cumberland,100.0,Kindergarten
,,Village Elementary School-Cumberland,,Cumberland,100.0,Kindergarten
,,Waynflete School,,Cumberland,100.0,Kindergarten
,,William H Rowe School,,Cumberland,100.0,Kindergarten
,,Windham Primary School,,Cumberland,100.0,Kindergarten
,,Winfield Children's House,,Cumberland,100.0,Kindergarten
,,Cumberland County Totals,,Cumberland,97.71,Kindergarten
,,Cape Cod Hill School,,Franklin,100.0,Kindergarten
,,Gerald D. Cushing School,,Franklin,97.06,Kindergarten
,,Kingfield Elementary School,,Franklin,100.0,Kindergarten
,,Phillips Elementary School,,Franklin,100.0,Kindergarten
,,Rangeley Lakes Regional School,,Franklin,87.5,Kindergarten
,,Stratton School,,Franklin,100.0,Kindergarten
,,WG Mallett,,Franklin,96.0,Kindergarten
,,Franklin County Totals,,Franklin,96.57,Kindergarten
,,Adams School,,Hancock,100.0,Kindergarten
,,Airline School,,Hancock,100.0,Kindergarten
,,Beech Hill School,,Hancock,100.0,Kindergarten
,,Blue Hill Consolidated,,Hancock,100.0,Kindergarten
,,Brooklin School,,Hancock,100.0,Kindergarten
,,Brooksville Elementary,,Hancock,100.0,Kindergarten
,,Cave Hill School,,Hancock,100.0,Kindergarten
,,Conners Emerson School,,Hancock,94.87,Kindergarten
,,Dedham School,,Hancock,95.0,Kindergarten
,,Deer Isle Stonington Elementary School,,Hancock,100.0,Kindergarten
,,Ellsworth Elementary and Middle School,,Hancock,98.44,Kindergarten
,,Hancock Grammar School,,Hancock,100.0,Kindergarten
,,Isle Au Haut,,Hancock,100.0,Kindergarten
,,Lamoine Consolidated School,,Hancock,100.0,Kindergarten
,,Mount Desert Elementary,,Hancock,94.74,Kindergarten
,,Mountain View School,,Hancock,100.0,Kindergarten
,,Pemetic Elementary School,,Hancock,100.0,Kindergarten
,,Peninsula School,,Hancock,100.0,Kindergarten
,,Penobscot Community School,,Hancock,87.5,Kindergarten
,,RSU 25,,Hancock,100.0,Kindergarten
,,Sedgwick Elementary School,,Hancock,100.0,Kindergarten
,,Surry Elementary School,,Hancock,100.0,Kindergarten
,,The Bay School,,Hancock,88.89,Kindergarten
,,Tremont Consolidated,,Hancock,100.0,Kindergarten
,,Trenton Elementary School,,Hancock,100.0,Kindergarten
,,Hancock County Totals,,Hancock,98.32,Kindergarten
,,Albion Elementary School,,Kennebec,100.0,Kindergarten
,,Atwood Primary School,,Kennebec,100.0,Kindergarten
,,Belgrade Central School,,Kennebec,100.0,Kindergarten
,,Benton Elementary- MSAD 49,,Kennebec,94.29,Kindergarten
,,Children's Center,,Kennebec,100.0,Kindergarten
,,China Primary School,,Kennebec,100.0,Kindergarten
,,Clinton Elementary,,Kennebec,92.0,Kindergarten
,,Farrington Elementary,,Kennebec,100.0,Kindergarten
,,Fayette Central School,,Kennebec,100.0,Kindergarten
,,George J. Mitchell School,,Kennebec,98.23,Kindergarten
,,Gilbert Elementary School,,Kennebec,100.0,Kindergarten
,,Hall-Dale Elementary School,,Kennebec,97.78,Kindergarten
,,Helen Thompson School,,Kennebec,97.37,Kindergarten
,,Hussey Elementary School Augusta,,Kennebec,100.0,Kindergarten
,,James H. Bean School,,Kennebec,100.0,Kindergarten
,,Laura E Richards Elementary School,,Kennebec,97.78,Kindergarten
,,Libby Tozier School,,Kennebec,98.89,Kindergarten
,,Lincoln Elementary School,,Kennebec,100.0,Kindergarten
,,Manchester Elementary School,,Kennebec,100.0,Kindergarten
,,Monmouth Memorial School,,Kennebec,100.0,Kindergarten
,,Mount Vernon Elementary,,Kennebec,100.0,Kindergarten
,,Pittston-Randolph Consolidated School,,Kennebec,100.0,Kindergarten
,,Readfield Elementary School,,Kennebec,95.83,Kindergarten
,,St. Michael School,,Kennebec,100.0,Kindergarten
,,Vassalboro Community School,,Kennebec,94.74,Kindergarten
,,Wayne Elementary School,,Kennebec,100.0,Kindergarten
,,Winslow Elementary School,,Kennebec,100.0,Kindergarten
,,Winthrop Grade School,,Kennebec,98.11,Kindergarten
,,Kennebec County Totals,,Kennebec,98.81,Kindergarten
,,Appleton Village School,,Knox,85.71,Kindergarten
,,Ash Point Community School,,Knox,100.0,Kindergarten
,,Ashwood Waldorf School,,Knox,73.33,Kindergarten
,,Camden Rockport Elementary School,,Knox,96.3,Kindergarten
,,Cushing Community School,,Knox,100.0,Kindergarten
,,Friendship Village School,,Knox,100.0,Kindergarten
,,Hope Elementary School,,Knox,100.0,Kindergarten
,,Prescott Memorial School,,Knox,100.0,Kindergarten
,,RSU 13/Thomaston Grammar school,,Knox,95.65,Kindergarten
,,South School,,Knox,97.67,Kindergarten
,,St. George Municipal School,,Knox,87.5,Kindergarten
,,Union Elementary School,,Knox,100.0,Kindergarten
,,Warren Community School,,Knox,94.74,Kindergarten
,,Knox County Totals,,Knox,95.27,Kindergarten
,,Boothbay Region Schools,,Lincoln,100.0,Kindergarten
,,Center for Teaching and Learning,,Lincoln,100.0,Kindergarten
,,Great Salt Bay Community School,,Lincoln,97.14,Kindergarten
,,Jefferson Village School,,Lincoln,95.24,Kindergarten
,,Miller School,,Lincoln,97.56,Kindergarten
,,Nobleboro Central School,,Lincoln,100.0,Kindergarten
,,South Bristol School,,Lincoln,100.0,Kindergarten
